Scope,,Code Smell,Description
,,Library Locker,"This code smell occurs when an application wraps a third-party library with its own functions or abstractions, often obscuring or complicating the library's usage."
Functional,Functional related,Inefficient Filtering,"This code smell occurs when the data generator makes excessive use of filters (such as such-that) to constrain the generated values. Instead of genering only valid values directly, the generator creates a large number of values and filters them afterward, resulting in resource waste and potential performance issues."
,,Overabstracted Composition,"This code smell occurs when excessive use of function composition (combining multiple functions into a single one) and partial application (fixing some arguments of a function to create a new one) makes the code overly abstract, sacrificing readability and maintainability. While function composition is a powerful tool in functional programming, overusing it can lead to deeply nested expressions that obscure the data flow."
,,Trivial lambda,"This code smell occurs when anonymous functions (lambdas) are excessively used instead of named functions, reducing code clarity and reusability. This is especially problematic when lambda expressions are chained or become overly complex, making the code harder to read, understand, and maintain."
,,Deeply-nested call stacks,"This code smell occurs when function calls are nested to a significant depth, resulting in a long chain of execution on the stack. This makes debugging more difficult, increases the risk of stack overflow, and reduces code readability by obscuring the control flow."
,,Forcing objetc-oriented (OO) paradigm,"In functional programming, functions are meant to be pure - taking inputs and returning outputs without side effects. Simulating object-like behavior introduces hidden state and mutability and adds layers of abstraction that may not be necessary in a functional context."
,,Overuse of high-order functions,"This code smell occurs when nearly every function takes or returns another function, leading to excessive abstraction that makes the code unnecessarily complex and harder to follow. While higher-order functions enhance flexibility and reusability, their excessive use can obscure intent, making debugging and reasoning about the code more difficult."
,,Inappropriate collection,"This code smell occurs when a data structure is used in a way that contradicts its intended purpose, leading to inefficient operations. For example, if a sequential collection is frequently scanned to locate elements by key, it likely indicates that an associative structure (e.g., a map or dictionary) would be more appropriate, improving both performance and clarity."
,,Premature optimization,"This code smell occurs when code is optimized too early, before verifying if performance is an actual bottleneck, leading to unnecessary complexity and reduced maintainability. For example, when with-retry is used to repeatedly attempt the same operation without assessing whether the real issue—such as incorrect credentials or permanent network failures—can be fixed, wasting resources instead of addressing the root cause."
,,Lazy Side Effects,"This code smell occurs when side effects (such as state changes or external interactions) happen within lazy evaluated code. Since lazy evaluation delays computation until needed, these side effects may not execute as expected, leading to unpredictable behavior and making the code harder to debug and maintain."
,,External Data Coupling,"This code smell occurs when utilizing raw data from external sources as-is within your application, leading to tight coupling between your code and the external data structure. It is about how you model and transform external information."
,,Hidden Side Effects,"This code smell occurs when functions perform side effects—such as I/O operations, state mutations, or logging—without making them explicit in their name, structure, or usage context. In functional programming, clarity around purity is essential for reasoning and testing. Best practices suggest using doseq for side-effects and components to indicate I/O."
,,Explicit Recursion,"This code smell occurs when explicit recursion is used instead of higher-order functions like map, reduce, or filter, which provide more concise and idiomatic solutions. Recursion should be reserved for cases where no suitable higher-level abstraction is available."
,,Reinventing the Wheel,"This code smell occurs when developers reimplement functionality that is already provided by the language’s standard, idiomatic constructs—particularly in the context of sequence processing. Instead of using expressive built-in functions like map, filter, remove, keep, second, or ffirst, code may rely on verbose anonymous functions, deeply nested calls, or manual iteration patterns. These reinventions not only obscure the original intent of the code but also introduce unnecessary complexity, reduce readability, and increase the potential for subtle bugs."
,,Positional Return Values,"This code smell occurs when functions return multiple values using positional collections such as vectors or lists, rather than explicitly labeled maps. While concise, this practice relies on the consumer to remember the semantic meaning of each position. It introduces hidden contracts and makes the code harder to read, understand, and maintain—especially as the number of return values grows. "
,Clojure specific,Unnecessary Macros,"This code smell occurs when macros are used in situations where simpler, more conventional solutions—such as functions or existing language constructs—would suffice. While macros offer powerful metaprogramming capabilities, their overuse introduces unnecessary abstraction and complexity. This can obscure the code’s intent, make debugging more challenging and reducing maintainability."
,,Underutilizing clojure features,"This code smell occurs when built-in language capabilities, such as higher-order functions, macros, or immutable data structures, are ignored in favor of more verbose or imperative approaches. This leads to less idiomatic, more error-prone, and harder-to-maintain code."
,,Immutability Violation,"This code smell Immutability occurs when mutable state is used in a language or paradigm that emphasizes immutability (such as Clojure), leading to side effects, reduced predictability, and harder-to-maintain code."
,,Namespaced Key Neglect,"This code smell occurs when developers rely on unqualified keywords (e.g., :id, :name) instead of using namespaced keywords (e.g., :user/id, :order/name). While seemingly harmless, this practice leads to ambiguity, increased risk of key collisions, and reduced semantic clarity — particularly in large or modular systems."
,,Reinvented Mapping,This code smell occurs when simple data transformations — like map or mapcat — are reimplemented manually using more complex or lower-level constructs. This not only adds unnecessary complexity but also obscures the programmer’s intent.
,,Reinvented Filtering,"This code smell occurs when filtering logic is manually reimplemented instead of using idiomatic Clojure functions like filter, remove, or keep. Developers may use verbose anonymous functions or unnecessary negation to mimic existing capabilities, leading to less readable and more error-prone code."
,,Reinvented Sequence Access,"This code smell occurs when developers access elements within nested sequences using verbose or deeply nested calls—such as repeated first, rest, or nth invocations—instead of using concise, idiomatic functions like second, ffirst, or nfirst. While technically correct, such verbose access patterns reduce readability and increase the likelihood of mistakes. "
,,Improper Emptiness Check,"This code smell occurs when developers use verbose or less idiomatic constructs—such as (not (empty? x))—to determine whether a collection is non-empty, instead of leveraging the more concise and expressive idiom (seq x). In Clojure, the concept of emptiness is nuanced: nil is considered empty, sequences can be infinite or lazy, and realization may matter. Using seq not only simplifies the check but also aligns with Clojure’s idiomatic style, improving readability and avoiding redundant negation or abstraction layers."
,,Accessing non-existent Map Fields,"This code smell occurs when code accesses map keys that may not exist, relying on nil as a default return without explicit handling. In Clojure, (get m :key) returns nil both when the key is missing and when it is explicitly associated with nil, which can obscure intent and lead to subtle bugs. Since Clojure maps treat nil as both a value and a signal of absence, the distinction between ""missing"" and ""present but empty"" becomes ambiguous. "
,,Unnecessary Into,"This code smell occurs when the into function is used in situations where more concise or idiomatic alternatives exist, leading to unnecessarily verbose or inefficient code. While into is useful for combining collections, it is often misused for simple type transformations—such as (into [] coll) instead of vec, or (into #{} coll) instead of set. It also appears in mapping over maps with (into {} (map ...)), which is typically more verbose and less efficient than using reduce-kv."
,,Conditional Build-Up,"This code smell occurs when a state is incrementally constructed through a series of let, if, and assoc expressions, leading to verbose and imperative-style code. Rather than clearly expressing the transformation logic, this pattern scatters conditional state mutations across multiple branches, making it harder to reason about the overall flow. "
,,Verbose Checks,"This code smell arises when developers manually implement common checks (such as checking if a number is zero, positive, or negative), when Clojure already provides clear, idiomatic functions that do the same. This results in verbose and less readable code, and misses an opportunity to leverage Clojure's built-in abstractions for clarity."
,,Production `doall`,"This code smell occurs when the doall function is used in production code to force realization of lazy sequences, often to trigger side effects or avoid deferred evaluation. While doall can be useful in REPL experimentation, its use in production undermines one of Clojure’s core strengths: laziness. For large or infinite sequences, this can lead to memory spikes and unpredictable performance. In production contexts, doall often signals poor abstraction choices and should prompt reconsideration of the control flow or evaluation strategy."
,,Redundant `do` block,"This code smell occurs when developers wrap expressions in an explicit (do ...) block inside constructs that already support implicit sequencing, such as let, when, if, fn, try, loop, and others. This redundant use of do adds no semantic value but introduces unnecessary syntax, making the code appear more complex and imperative than it actually is. "
,,Thread Ignorance,"This code smell occurs when developers avoid or misuse Clojure’s threading macros (->, ->>, some->, cond->) in scenarios where they would provide clearer, more idiomatic data flow. Instead of leveraging threading to express stepwise transformations, code may fall back to repetitive bindings, deeply nested let or when-let forms, or manually sequenced function calls. This results in verbose, harder-to-follow logic and obscures the intent behind each transformation."
,,Nested Forms,"This code smell occurs when multiple binding or iteration forms—such as let, when-let, if-let, or doseq—are unnecessarily nested instead of being combined in a single, flat form. While technically valid, this nesting introduces extra indentation and structural complexity without adding semantic value. It obscures the relationships between bindings, increases visual noise, and makes the code harder to read and reason about."
,,Direct Usage of `clojure.lang.RT`,"This code smell occurs when Clojure code directly invokes methods from the clojure.lang.RT class, such as clojure.lang.RT/iter, to perform operations that are not exposed through the public Clojure API. The RT class is part of Clojure's internal implementation and is not intended for direct use in application code. Directly invoking methods from this class can lead to fragile code that is susceptible to breakage with future updates to the language."
